Points	Interferogram
1286	-1.05E-04
1287	-1.06E-04
1288	-1.06E-04
1289	-1.06E-04
1290	-1.07E-04
1291	-1.07E-04
1292	-1.08E-04
1293	-1.08E-04
1294	-1.09E-04
1295	-1.10E-04
1296	-1.10E-04
1297	-1.11E-04
1298	-1.12E-04
1299	-1.12E-04
1300	-1.13E-04
1301	-1.14E-04
1302	-1.15E-04
1303	-1.15E-04
1304	-1.16E-04
1305	-1.16E-04
1306	-1.17E-04
1307	-1.18E-04
1308	-1.19E-04
1309	-1.19E-04
1310	-1.20E-04
1311	-1.21E-04
1312	-1.21E-04
1313	-1.22E-04
1314	-1.23E-04
1315	-1.24E-04
1316	-1.24E-04
1317	-1.25E-04
1318	-1.25E-04
1319	-1.26E-04
1320	-1.26E-04
1321	-1.27E-04
1322	-1.27E-04
1323	-1.28E-04
1324	-1.28E-04
1325	-1.29E-04
1326	-1.29E-04
1327	-1.30E-04
1328	-1.30E-04
1329	-1.30E-04
1330	-1.31E-04
1331	-1.31E-04
1332	-1.31E-04
1333	-1.32E-04
1334	-1.32E-04
1335	-1.32E-04
1336	-1.32E-04
1337	-1.33E-04
1338	-1.33E-04
1339	-1.33E-04
1340	-1.33E-04
1341	-1.33E-04
1342	-1.33E-04
1343	-1.33E-04
1344	-1.33E-04
1345	-1.33E-04
1346	-1.33E-04
1347	-1.33E-04
1348	-1.33E-04
1349	-1.33E-04
1350	-1.32E-04
1351	-1.32E-04
1352	-1.32E-04
1353	-1.32E-04
1354	-1.31E-04
1355	-1.31E-04
1356	-1.31E-04
1357	-1.31E-04
1358	-1.30E-04
1359	-1.30E-04
1360	-1.29E-04
